========================================================================
GRAVITY-LIKE DISTORTION RESPONSE SWEEP
========================================================================
width=20, height=10, source=(0, 0)
target_ys=[-5, -3, -1, 0, 1, 3, 5]

========================================================================
SWEEP 1: Persistent node COUNT (placed at center, expanding outward)
========================================================================

n_nodes  target_y   free_action   dist_action   action_diff    max_defl   mean_defl  dist_path_y
      4         0       20.0000       12.9423       -7.0577      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      4         1       20.4142       12.8855       -7.5288      1.0000      0.6667  [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
      4         3       21.2426       12.9316       -8.3110      1.0000      0.3810  [0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
      4         5       22.0711       13.4400       -8.6311      3.0000      1.0952  [0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 3, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5]
      5        -5       22.0711       14.3003       -7.7707      2.0000      0.9048  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -3, -4, -5, -5]
      5        -3       21.2426       13.5908       -7.6519      2.0000      0.9524  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -3, -3, -3]
      5        -1       20.4142       12.9335       -7.4807      1.0000      0.1429  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1]
      5         0       20.0000       12.6239       -7.3761      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      5         1       20.4142       12.5481       -7.8661      1.0000      0.6667  [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
      5         3       21.2426       12.5470       -8.6956      1.0000      0.4286  [0, 0, 0, 0, 0, 0, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
      5         5       22.0711       12.9740       -9.0971      3.0000      1.2857  [0, 0, 0, 0, 0, 0, 1, 2, 2, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
      6        -5       22.0711       13.5845       -8.4866      2.0000      0.9048  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -3, -4, -5, -5]
      6        -3       21.2426       12.8958       -8.3469      2.0000      0.9524  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -3, -3, -3]
      6        -1       20.4142       12.2608       -8.1534      1.0000      0.1905  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1]
      6         0       20.0000       11.9667       -8.0333      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      6         1       20.4142       11.8864       -8.5278      1.0000      0.6667  [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
      6         3       21.2426       12.0223       -9.2203      1.0000      0.3333  [0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
      6         5       22.0711       12.5037       -9.5674      3.0000      1.0952  [0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5]
      7        -5       22.0711       13.4327       -8.6384      2.0000      0.9048  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -3, -4, -5, -5]
      7        -3       21.2426       12.7449       -8.4978      2.0000      0.9524  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -3, -3, -3]
      7        -1       20.4142       12.1125       -8.3017      1.0000      0.1905  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1]
      7         0       20.0000       11.8188       -8.1812      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      7         1       20.4142       11.7281       -8.6862      1.0000      0.6667  [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
      7         3       21.2426       11.8326       -9.4101      1.0000      0.3333  [0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
      7         5       22.0711       12.2585       -9.8126      3.0000      1.2381  [0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
      8        -5       22.0711       12.8377       -9.2333      2.0000      0.9048  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -3, -4, -5, -5]
      8        -3       21.2426       12.1709       -9.0717      2.0000      0.9524  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -3, -3, -3]
      8        -1       20.4142       11.5592       -8.8550      1.0000      0.1905  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1]
      8         0       20.0000       11.2801       -8.7199      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      8         1       20.4142       11.2566       -9.1576      1.0000      0.6190  [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
      8         3       21.2426       11.4667       -9.7759      1.0000      0.3333  [0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
      8         5       22.0711       11.9322      -10.1389      3.0000      1.0952  [0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5]
      9        -5       22.0711       12.7615       -9.3096      2.0000      0.9048  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -3, -4, -5, -5]
      9        -3       21.2426       12.0946       -9.1480      2.0000      0.9524  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -3, -3, -3]
      9        -1       20.4142       11.4840       -8.9303      1.0000      0.1905  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1]
      9         0       20.0000       11.2046       -8.7954      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      9         1       20.4142       11.1738       -9.2404      1.0000      0.6190  [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
      9         3       21.2426       11.3630       -9.8796      1.0000      0.3333  [0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
      9         5       22.0711       11.7948      -10.2762      3.0000      1.0952  [0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5]
     10        -5       22.0711       12.2985       -9.7726      2.0000      0.9048  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -3, -4, -5, -5]
     10        -3       21.2426       11.6484       -9.5942      2.0000      0.8095  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -3, -3, -3, -3]
     10        -1       20.4142       11.0604       -9.3538      1.0000      0.2381  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1]
     10         0       20.0000       10.7970       -9.2030      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
     10         1       20.4142       10.8411       -9.5731      1.0000      0.5238  [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
     10         3       21.2426       11.0854      -10.1573      2.0000      0.4286  [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
     10         5       22.0711       11.5494      -10.5216      3.0000      1.1429  [0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5]
     11        -5       22.0711       12.2615       -9.8096      2.0000      0.9048  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -3, -4, -5, -5]
     11        -3       21.2426       11.6120       -9.6306      2.0000      0.8095  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -3, -3, -3, -3]
     11        -1       20.4142       11.0239       -9.3903      1.0000      0.2381  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1]
     11         0       20.0000       10.7597       -9.2403      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
     11         1       20.4142       10.7994       -9.6148      1.0000      0.5714  [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
     11         3       21.2426       11.0321      -10.2105      1.0000      0.3810  [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
     11         5       22.0711       11.4753      -10.5958      3.0000      1.1429  [0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5]
     12        -5       22.0711       11.9169      -10.1542      2.0000      0.8571  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2, -3, -4, -5, -5]
     12        -3       21.2426       11.2814       -9.9613      2.0000      0.7619  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2, -3, -3, -3, -3]
     12        -1       20.4142       10.7169       -9.6973      1.0000      0.2857  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1]
     12         0       20.0000       10.4706       -9.5294      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
